VAR1,A7,A8,A9
1,0.0416,0.0643,0.007504
2,0.0509361,0.06446,0.009181
3,0.04117,0.07519,0.009362
4,0.02143,0.1016439,0.003496
5,0.03507,0.08164,0.00555
6,0.04005,0.08635,0.006947
7,0.04813,0.07833,0.00918
8,0.9653906,0.9346178,0.3304756
9,0.9661815,0.9389792,0.4472804
10,0.9739167,0.9299754,0.5683913
11,0.9707228,0.92686,0.6246782
12,0.9539057,0.9491093,0.4297716
13,0.9699514,0.962164,0.4829273
14,0.9675967,0.9433793,0.5677865
15,0.975364,0.936364,0.6250878
16,0.1293138,0.8222031,0.004507
17,0.09739,0.8459012,0.003366
18,0.1239794,0.8467277,0.005595
19,0.09101,0.8397313,0.003965
20,0.1284698,0.8875201,0.005817
21,0.1743263,0.8810901,0.007967
22,0.1596211,0.8781594,0.01143
23,0.1881701,0.8744849,0.01173
24,0.8141866,0.08107,0.06058
25,0.8261623,0.08859,0.07662
26,0.8511698,0.08101,0.1033898
27,0.8063249,0.0807,0.1095849
28,0.8140839,0.102617,0.08916
29,0.8592301,0.09652,0.1154319
30,0.8637507,0.09182,0.1498937
31,0.8965701,0.0760046,0.1786858
32,0.9797812,0.09121,0.7780306
33,0.9758308,0.07047,0.8195376
34,0.9735464,0.07943,0.803023
35,0.969031,0.08569,0.8139606
36,0.960909,0.082215,0.756971
37,0.9657435,0.06684,0.7689169
38,0.9746737,0.09448,0.8253493
39,0.9645435,0.06179,0.7649072
